rownum,utt_len,uID,langtype,corpus,file,name,role,age,sex,group,SES,Y,M,D,agemonth,who,Target,Repetition,w,mw_stem,pos_c,t_type
10171,2,u0,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,wash Georgie,wash Georgie,n n,p
10172,1,u1,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,washing,wash,part,p
10173,1,u2,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,washing,wash,part,p
10174,1,u3,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,washing,wash,part,p
10175,3,u4,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,washing Georgie's neck,wash Georgie;s neck,part n;poss n,p
10176,6,u5,Sachs,,020002.xml,,Mother,,,,,2,0,2,24.06452,MOT,,,does Georgie have a dirty neck,do Georgie have a dirt neck,mod n v det adj n,q
10177,2,u6,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie neck,Georgie neck,n n,p
10178,1,u7,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,washing,wash,part,p
10179,5,u8,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,do you want a drink,do you want a drink,mod pro v det n,q
10180,5,u9,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,do you want a drink,do you want a drink,mod pro v det n,q
10181,5,u10,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,do you want a drink,do you want a drink,mod pro v det n,q
10182,5,u11,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,I washing his his hand,I wash his hand,pro part det n,p
10183,1,u12,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
10184,2,u13,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,where's Gammy,where;be Gammy,adv;cop n,q
10185,5,u14,Sachs,,020002.xml,,Mother,,,,,2,0,2,24.06452,MOT,,,Gammy went back to New_York,Gammy go back to New_York,n v adv prep n,p
10186,2,u15,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,where's Gammy,where;be Gammy,adv;cop n,q
10187,4,u16,Sachs,,020002.xml,,Mother,,,,,2,0,2,24.06452,MOT,,,she's not here sweetie,she;be not here sweetie,pro;aux neg adv co,p
10188,4,u17,Sachs,,020002.xml,,Mother,,,,,2,0,2,24.06452,MOT,,,Gammy went back home,Gammy go back home,n v adv n,p
10189,4,u18,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,you wanna wash it,you wanna wash it,pro mod v pro,q
10190,2,u19,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,wash it,wash it,v pro,q
10191,2,u20,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,wash it,wash it,v pro,q
10192,3,u21,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,you wanna see,you wanna see,pro mod v,q
10193,2,u22,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,wash it,wash it,v pro,p
10194,1,u23,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
10195,1,u24,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
10196,1,u25,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
10197,1,u26,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
10198,1,u27,Sachs,,020002.xml,Naomi,Target_Child,P2Y0M2D,,,,2,0,2,24.06452,CHI,,,Georgie,Georgie,n,p
